title,Demographic,All Ages,<18,18-29,30-44,45+,All Ages Voters,<18 Voters,18-29 Voters,30-44 Voters,45+ Voters
Midsommar,All,7.2,7.9,7.4,7.1,6.7,"89,431",174,"25,079","27,623","6,458"
Midsommar,Males,7.2,7.9,7.4,7.1,6.7,"52,198",121,"19,191","22,932","5,391"
Midsommar,Females,7.1,7.5,7.3,7.0,6.6,"10,829",32,"4,844","3,994",856
Judy,All,7.1,5.4,7.0,7.0,7.4,"8,491",13,"1,548","2,237","1,986"
Judy,Males,7.0,5.1,6.9,6.9,7.3,"4,549",11,"1,136","1,666","1,434"
Judy,Females,7.4,7.0,7.2,7.3,7.6,"1,558",1,372,532,510
Queen & Slim,All,7.0,8.0,7.3,6.8,6.3,"4,261",10,876,"1,163",561
Queen & Slim,Males,6.9,9.2,7.3,6.7,6.1,"2,215",4,679,905,425
Queen & Slim,Females,7.5,2.0,7.6,7.3,7.3,613,6,165,230,124
Midway,All,6.9,5.5,6.7,6.8,7.3,"16,235",32,"2,938","4,440","2,753"
Midway,Males,6.8,5.7,6.6,6.7,7.2,"9,478",20,"2,321","3,764","2,320"
Midway,Females,7.3,7.0,7.2,7.1,7.7,"1,546",3,465,544,352
Long Shot,All,6.9,7.2,7.0,6.8,6.7,"59,609",78,"13,706","21,811","5,805"
Long Shot,Males,6.9,7.1,7.0,6.8,6.6,"35,778",55,"10,260","17,688","4,746"
Long Shot,Females,7.0,7.7,7.1,6.9,6.8,"8,106",8,"2,822","3,584",901
The Lion King,All,7.0,6.8,7.0,6.9,7.0,"148,704",594,"41,615","42,258","7,817"
The Lion King,Males,6.9,6.4,6.8,6.8,6.9,"77,146",325,"28,853","33,063","5,934"
The Lion King,Females,7.5,7.6,7.5,7.4,7.6,"22,152",102,"10,000","7,662","1,557"
Angel Has Fallen,All,6.4,6.4,6.4,6.3,6.5,"40,641",82,"7,492","14,033","5,309"
Angel Has Fallen,Males,6.4,6.4,6.4,6.3,6.5,"25,312",52,"6,124","12,213","4,450"
Angel Has Fallen,Females,6.8,5.2,6.9,6.6,7.0,"3,631",8,982,"1,479",695
The Lighthouse,All,8.2,9.4,8.4,7.8,7.1,"23,192",83,"7,036","5,771","1,622"
The Lighthouse,Males,8.1,9.4,8.4,7.8,7.2,"13,601",70,"6,038","5,023","1,325"
The Lighthouse,Females,7.5,9.1,7.9,7.2,6.6,"1,808",5,768,638,250
The Two Popes,All,7.7,7.8,7.7,7.6,7.8,"8,590",22,"1,915","2,652","1,275"
The Two Popes,Males,7.7,7.7,7.7,7.6,7.7,"5,204",17,"1,571","2,148","1,005"
The Two Popes,Females,7.9,8.0,7.9,7.8,8.1,"1,016",3,272,428,226
A Rainy Day in New York,All,6.7,7.3,6.8,6.6,6.9,"9,743",20,"2,405","3,047","1,210"
A Rainy Day in New York,Males,6.7,7.2,6.8,6.6,6.9,"5,198",7,"1,544","2,271",992
A Rainy Day in New York,Females,6.8,7.1,6.8,6.7,6.9,"1,796",9,748,682,185
Honey Boy,All,7.5,7.3,7.7,7.3,6.6,"3,903",9,"1,245",909,354
Honey Boy,Males,7.5,7.3,7.7,7.3,6.6,"2,205",8,"1,005",749,277
Honey Boy,Females,7.2,5.0,7.6,6.8,6.6,448,1,199,138,68
Shazam!,All,7.1,7.6,7.2,7.0,7.0,"199,709",837,"53,117","58,632","13,249"
Shazam!,Males,7.1,7.5,7.2,6.9,6.9,"118,978",543,"42,805","50,365","11,303"
Shazam!,Females,7.3,7.9,7.3,7.2,7.3,"17,718",82,"7,238","6,613","1,527"
Fast & Furious Presents: Hobbs & Shaw,All,6.5,7.1,6.5,6.4,6.6,"121,982",748,"33,836","35,951","11,783"
Fast & Furious Presents: Hobbs & Shaw,Males,6.4,7.0,6.5,6.3,6.5,"71,137",409,"26,240","29,063","8,373"
Fast & Furious Presents: Hobbs & Shaw,Females,6.9,6.9,6.8,6.8,7.2,"16,614",232,"6,117","6,007","3,175"
Trauma Center,All,5.0,7.0,3.9,5.2,4.2,"1,873",40,73,573,255
Trauma Center,Males,4.7,7.0,3.8,5.0,4.4,770,2,58,451,217
Trauma Center,Females,5.6,7.0,4.1,6.1,3.6,209,38,14,118,32
21 Bridges,All,6.6,5.6,6.6,6.6,6.6,"5,727",16,"1,077","1,589",773
21 Bridges,Males,6.6,6.0,6.5,6.5,6.6,"3,239",10,904,"1,331",628
21 Bridges,Females,7.0,1.2,7.1,7.0,6.8,534,4,123,211,125
